Car Model,Country,City,Price,QuantitySold,Sale,DateOfSale,CustomerID,CustomerName,Age,Gender,CarMake,CarModel,Year,CarType,PaymentMethod,SalespersonID,SalespersonName,DealershipLocation,Profit
Hyundai Elantra,USA,Phoenix,58969,9,530721,2024-10-19,CUST00001,David Newton,24,Male,Mercedes,Mercedes C-Class,2022,SUV,Cash,SP050,Daisy Becker,"Lisaside, Palestinian Territory",7504
Honda Civic,Australia,Melbourne,82809,2,165618,2024-10-20,CUST00002,Mark Haas,25,Non-binary,Nissan,Ford Focus,2019,Convertible,Credit Card,SP027,Kelly Smith,"South Amber, Reunion",14973
Hyundai Elantra,Australia,Adelaide,54925,10,549250,2024-10-21,CUST00003,Emily Brooks,33,Male,Toyota,Kia Optima,2007,Truck,Lease,SP071,Christian Morgan,"Kristinmouth, Cuba",7008
BMW 3 Series,Canada,Toronto,34601,10,346010,2024-10-22,CUST00004,Samantha Fernandez,21,Non-binary,Toyota,Mercedes C-Class,2016,SUV,Credit Card,SP055,George Santiago,"Patrickmouth, French Guiana",11729
BMW 3 Series,France,Nice,49742,1,49742,2024-10-23,CUST00005,Linda Wilson,42,Female,BMW,BMW 3 Series,2002,Minivan,Bank Transfer,SP007,Brittany Brown,"Reneeborough, Kyrgyz Republic",6025
Chevrolet Malibu,USA,Los Angeles,86134,3,258402,2024-10-24,CUST00006,David Pham,75,Female,Toyota,Chevrolet Malibu,2005,Convertible,Cash,SP028,Alicia Harrison,"Karenside, Botswana",5467
Toyota Corolla,Australia,Melbourne,63046,2,126092,2024-10-25,CUST00007,Charles Williams,42,Male,Nissan,Toyota Corolla,2012,Coupe,Cash,SP062,Jason Garcia PhD,"South Josephfort, Egypt",5094
Toyota Corolla,Italy,Turin,97231,7,680617,2024-10-26,CUST00008,Robert Stewart,58,Female,Chevrolet,Nissan Altima,2007,Coupe,Credit Card,SP080,Sarah Roberson,"Melissahaven, Guyana",11563
Audi A4,USA,Chicago,47946,2,95892,2024-10-27,CUST00009,Emma Foster,68,Male,Kia,Mercedes C-Class,2006,Convertible,Lease,SP015,Joshua Smith,"West Aaronland, Jamaica",10166
BMW 3 Series,Australia,Melbourne,55785,10,557850,2024-10-28,CUST00010,Nicholas Vaughan,63,Non-binary,Nissan,Toyota Corolla,2008,Coupe,Bank Transfer,SP090,Brenda Fox,"Franklinmouth, Isle of Man",8866
Nissan Altima,China,Guangzhou,61723,9,555507,2024-10-29,CUST00011,Troy Hartman,69,Female,Hyundai,Chevrolet Malibu,2019,Hatchback,Bank Transfer,SP023,Gregory Smith,"Alexandraberg, Iraq",6068
Ford Focus,Australia,Adelaide,78030,8,624240,2024-10-30,CUST00012,Daniel Lucas,19,Female,Hyundai,Mercedes C-Class,2014,Convertible,Credit Card,SP016,David Blackwell,"Hintonstad, Pitcairn Islands",3598
Chevrolet Malibu,Japan,Tokyo,26995,9,242955,2024-10-31,CUST00013,Bryan Terry,74,Non-binary,Kia,Nissan Altima,2001,Coupe,Credit Card,SP022,Crystal Horton,"New Kelly, Western Sahara",2472
